record_id|name|institution|year
66476|Abraham Gotthelf Kästner|Universit t Leipzig|
124285|Abraham Gottlob Werner||
189659|Abraham Heinecke||
316872|Abu Abdallah Al-Husayn ibn Ibrahim al-Natili||
316873|Abu Mansur al-Hasan ibn Nuh al-Qumri||
310782|Abu Sahl 'Isa ibn Yahya al-Masihi||
298616|Abu ʿAli al-Husayn (Avicenna) ibn Sina||
125023|Adolph Vorstius||
125006|Adriaan van den Spieghel||
131606|Adrien Turnèbe||
127801|Aegidius Strauch||
200006|Albert Clampius||
125898|Alexander Hegius||
119178|Andreas (Andries van Wesel) Vesalius||
131535|Angelo Poliziano||
191279|Anton Bernhard Lauterbach|Friedrich-Schiller-Universit t Jena|
41758|Antonio Bordoni||
18923|Antonio Luigi Gaudenzio Giuseppe Cremona|Universit degli Studi di Pavia|
127245|Antonio Musa Brasavola||
119293|Arnold Geulincx||
287480|Athīr al-Dīn al-Mufaḍḍal al-Abharī||
146034|August Hermann Francke||
125002|Augustin Friedrich Walther||
125143|Augustin Heinrich Fasch||
287468|Bahmanyār ibn al-Marzubān||
152647|Balthasar Kaeuffelin||
143859|Bartholomäus Leonhard Schwendendörffer||
131561|Basilios Bessarion||
152906|Bassiano Landi||
57667|Bernhard Friedrich Thibaut||
126724|Bonifazius Erasmi||
76483|Burchard David Mauchart||
7401|C. Felix (Christian) Klein||
7404|C. L. Ferdinand (Carl Louis) Lindemann||
18231|Carl Friedrich Gauß|Universit t Helmstedt|
15635|Carl Gustav Jacob Jacobi|Humboldt-Universit t zu Berlin|
125561|Christiaan Huygens||
57670|Christian August Hausen||
146035|Christian Benedict Michaelis||
124845|Christian Gottlieb Ludwig||
126124|Christian Gottlob Heyne||
29642|Christian Ludwig Gerling||
47793|Christian M. von Wolff||
66319|Christian Samuel Weiss||
127946|Christian Thomasius||
126895|Christian Wilhelm Küstner||
125001|Christoph Friedrich Haase||
144220|Christoph Meurer||
157308|Christoph Pfautz||
177516|Christopher Allen Tucker|University of Reading|
127469|Colin Edward Cherry||
145707|Constantijn l’Empereur van Oppyck||
230796|Constantin Ziegra||
128105|Cornelius Martini||
131540|Cristoforo Landino||
126111|Daniel Sennert||
7298|David Hilbert|Universit t K nigsberg|
131576|Demetrios Chalcocondyles||
134780|Demetrios Kydones||
125938|Desiderius Erasmus||
126112|Domenico Maria Novara da Ferrara||
128122|Duncan Liddel||
113719|Ehrenfried Walter von Tschirnhaus||
76482|Elias Rudolph Camerarius, Jr.||
76481|Elias Rudolph Camerarius, Sr.||
131400|Elijah ben Asher Levita||
134781|Elissaeus Judaeus||
125125|Emmanuel Stupanus||
41423|Enno Heeren Dirksen|Georg-August-Universit t G ttingen|
126736|Erasmus Reinhold||
127424|Erasmus Schmidt||
157307|Erhard Pfautz||
60984|Erhard Weigel|Universit t Leipzig|
129648|Ernst Laas||
119272|Erycius (Henrick van den Putte) Puteanus||
287478|Fakhr al-Dīn Muhammad al-Rēzī||
182090|Felix Plater||
123957|Ferdinand Christoph Oetinger||
179837|Florens (Florentius Radwyn) Radewyns||
18922|Francesco Brioschi||
101860|Franciscus de le Boë Sylvius||
125450|Frans van Schooten, Jr.||
18600|Franz Ernst Neumann|Universit t Berlin|
128987|François Dubois||
131235|François Vatable||
60803|Friedrich Adolf Trendelenburg||
231030|Friedrich Albert Lange||
57706|Friedrich Julius Richelot|Universit t K nigsberg|
143630|Friedrich Leibniz||
123979|Friedrich Stromeyer||
125142|Gabriele Falloppio||
148882|Gaetano da Thiene||
298290|Gasparino da Barzizza||
179836|Geert (Gerardus Magnus) Groote||
119097|Gemma (Jemme Reinerszoon) Frisius||
123974|Georg Balthasar Metzger||
65161|Georg Christoph Lichtenberg||
125886|Georg Erhard Hamberger||
123977|Georg Ernst Stahl||
126827|Georg Joachim von Leuchen Rheticus||
126894|Georg Ludwig König||
125488|Georg Wolffgang Wedel||
126087|Georg von Peuerbach||
95530|George Sylvester Morris|Universit t Berlin|
298288|George of Trebizond||
131575|Georgios Plethon Gemistos||
131443|Georgius Hermonymus||
208258|Gerardus Leonardus Blasius||
295739|Ghiyāth al-Dīn Abū al-Fatḥ ʿUmar ibn Ibrāhīm al-Khayyām al-Nīsābūrī||
114992|Gilbert Jacchaeus||
146036|Giovanni Battista (Giambattista) Beccaria||
152904|Giovanni Battista della Monte||
298304|Giovanni Conversini||
127181|Girolamo (Hieronymus Aleander) Aleandro||
18924|Giuseppe Veronese|Universit di Roma La Sapienza|
182089|Gottfried Möbius||
60985|Gottfried Wilhelm Leibniz||
201288|Gregory Chioniadis||
176844|Gregory Palamas||
134931|Guarino da Verona||
18925|Guido Castelnuovo|Universit degli Studi di Padova|
131517|Guillaume Budé||
158329|Guillaume Rondelet||
17946|Gustav Peter Lejeune Dirichlet||
46968|Gustav Robert Kirchhoff||
16915|Heinrich Martin Weber||
127264|Heinrich von Langenstein||
106920|Hermann Cohen||
125109|Hieronymus (Girolamo Fabrici d'Acquapendente) Fabricius||
145708|Hiob Ludolf||
106921|Immanuel Kant||
125159|Immanuel Tremellius||
143044|Jacob Andreae||
54440|Jacob Bernoulli||
125755|Jacob ben Jehiel Loans||
126489|Jacobus (Jacob Harmensz.) Arminius||
